scenario,replication,seed,total_arrivals,fresh_arrivals,recertification_arrivals,short_redial_arrivals,long_redial_arrivals,service_successes,service_failures,abandon_lost,abandon_short,abandon_long,total_abandonments,mean_Q,mean_waiting,mean_B,mean_RS,mean_RL,utilization,average_wait_including_abandonments_minutes,average_speed_to_answer_minutes,average_time_to_abandonment_minutes,abandonment_fraction,procedural_denial_rate_per_model_day,total_arrival_rate_per_model_day,effective_arrival_rate_per_model_day,returning_call_rate_per_model_day,final_Q,final_waiting,final_in_service,final_B,final_RS,final_RL,min_Q,min_B,min_RS,min_RL,max_in_service,abandonments_per_fresh_arrival,abandonments_per_external_arrival,redial_arrivals_per_fresh_arrival,redial_arrivals_per_external_arrival,total_attempts_per_fresh_arrival,total_attempts_per_external_arrival,repeat_attempt_share,mean_attempts_before_enrollment,median_attempts_before_enrollment,p90_attempts_before_enrollment,p95_attempts_before_enrollment,max_attempts_before_enrollment,num_completed_enrollments_with_attempt_records
sinusoidal_amp_050,30,20260658,60131,29572,2992,6716,20851,18685,18474,9202,6784,6951,22937,78.80988329816421,47.66730887435176,8312.32311014447,47.232530357361554,3906.2033864258624,0.9732054507441669,20.54624826666012,23.896242098974646,15.119103443231799,0.38145049974222944,191.70833333333334,1252.7291666666667,774.875,636.6458333333334,119,87,32,14911,103,5331,0,0,0,0,32,0.7756323549303396,0.7043667854071981,0.9321993777898011,0.846548335585309,2.033376166644123,1.846548335585309,0.4584490529011658,0.776023548300776,0.0,2.0,3.0,11,18685
sinusoidal_amp_050,31,20260659,60386,29479,3037,6811,21059,18547,18700,9236,6888,6956,23080,79.8154506977916,48.53112923116793,8230.324640195167,46.576045819260905,3965.174908882617,0.977635045831949,20.8286375500687,24.250556233842026,15.306271639561537,0.3822077965091246,192.41666666666666,1258.0416666666667,777.2083333333334,643.8958333333334,126,94,32,14777,94,5351,0,0,0,0,32,0.7829302215136199,0.7098044039857301,0.9454187726856407,0.8571164964940337,2.04844126327216,1.8571164964940337,0.46153081840161625,0.7885372297406589,0.0,2.0,3.0,12,18547
sinusoidal_amp_050,32,20260660,60365,29412,2998,7028,20927,18357,18516,9333,7088,6989,23410,79.9906698408968,48.73216723004342,8083.573737256817,49.03511089960131,3921.629945043591,0.9768282065891621,20.9241829694904,24.485679586496232,15.314483492392744,0.38780750434854633,194.4375,1257.6041666666667,769.8958333333334,644.8541666666666,143,111,32,14596,93,5257,0,0,0,0,32,0.7959336325309397,0.7223079296513422,0.9504623963008296,0.8625424251774144,2.052393580851353,1.8625424251774143,0.4630994781744388,0.8018739445443155,0.0,2.0,3.0,9,18357
sinusoidal_amp_050,33,20260661,61041,29763,3038,7216,21024,18410,18313,9593,7280,7345,24218,81.58506708897147,50.32365462766421,8099.317638250845,49.50779567962193,3944.60352944391,0.9769191394158758,21.36303267728296,25.189575922830834,15.56064818615015,0.3967497255942727,199.85416666666666,1271.6875,767.1458333333334,651.625,161,129,32,14625,81,5341,0,0,0,0,32,0.8136948560292981,0.7383311484405963,0.9488290830897423,0.8609493612999604,2.050902126801734,1.8609493612999604,0.4626398650087646,0.7928843020097773,0.0,2.0,3.0,11,18410
sinusoidal_amp_050,34,20260662,60239,29451,3022,6948,20818,18654,18501,9244,7000,6796,23040,78.65938988363902,47.474886295096915,8230.959480303614,47.86508118549849,3910.6604744733268,0.9745157371419171,20.424568456053688,23.685186521725374,15.166397265514128,0.3824764687328807,192.58333333333334,1254.9791666666667,774.9791666666666,641.4166666666666,125,93,32,14813,79,5282,0,0,0,0,32,0.7823163899358256,0.7095125180919534,0.9427863230450579,0.855048809780433,2.0453974398152863,1.855048809780433,0.46093062633841864,0.7903398734855795,0.0,2.0,3.0,9,18654
sinusoidal_amp_050,35,20260663,60635,29371,3096,7060,21108,18318,18646,9516,7112,6967,23595,80.10709273674429,48.79690974963811,8142.877184691377,49.46667242612329,3953.0225541393743,0.9784432183470723,20.858765291869812,24.509047358056858,15.140222113461775,0.3891316896182073,198.25,1263.2291666666667,771.6666666666666,651.3333333333334,142,110,32,14575,82,5280,0,0,0,0,32,0.8033434339995233,0.7267379185018634,0.9590412311463689,0.8675886284535066,2.0644513295427465,1.8675886284535066,0.46455017729034387,0.8046729992357244,0.0,2.0,3.0,9,18318
sinusoidal_amp_050,36,20260664,59874,29414,2965,6754,20741,18477,18361,9208,6807,6937,22952,78.97615500657515,47.814697527055905,8245.521529152233,46.880071090664195,3908.7838140336385,0.97379554623496,20.696578544473915,24.041491523798843,15.327987383251712,0.38333834385542975,191.83333333333334,1247.375,769.2083333333334,634.5833333333334,136,104,32,14696,82,5311,0,0,0,0,32,0.780308696539063,0.7088545044627691,0.9347589583191678,0.8491614935606412,2.035561297341402,1.849161493560641,0.4592143501352841,0.7773989283974672,0.0,2.0,3.0,10,18477
sinusoidal_amp_050,37,20260665,59986,29525,2992,6777,20692,18644,18504,9098,6862,6789,22749,78.65679474949732,47.4230807691603,8224.103574809837,46.914142325702066,3902.781968022285,0.9760535618855565,20.491358650480173,23.70015925099104,15.251544825354769,0.3792384889807622,189.54166666666666,1249.7083333333333,775.7708333333334,634.6041666666666,145,113,32,14794,102,5307,0,0,0,0,32,0.7704995766299746,0.6996032844358335,0.9303640982218458,0.8447581265184365,2.0317019475021167,1.8447581265184365,0.45792351548694693,0.7755846384895945,0.0,2.0,3.0,10,18644
sinusoidal_amp_050,38,20260666,60394,29592,3101,7030,20671,18559,18132,9469,7101,7072,23642,80.6735660558191,49.2465545434512,8203.816734847313,49.84525681722806,3925.183794025724,0.982094109761492,21.116545292298547,24.745582334459012,15.48449224628257,0.3914627280855714,197.27083333333334,1258.2083333333333,765.6666666666666,641.7083333333334,143,111,32,14694,103,5263,0,0,0,0,32,0.7989321438226548,0.7231517450218701,0.9360975939443092,0.8473067629156088,2.040889429575561,1.8473067629156088,0.4586713911978011,0.7835012662320168,0.0,2.0,3.0,13,18559
sinusoidal_amp_050,39,20260667,60102,29608,3064,6760,20670,18546,18315,9483,6834,6857,23174,79.51467792512388,48.47603632978698,8197.130721977706,47.62898533693245,3876.4803582634777,0.9699575498542875,20.908142246397887,24.512930492509447,15.174298303189202,0.38557785098665603,197.5625,1252.125,769.3333333333334,635.2916666666666,139,107,32,14722,99,5227,0,0,0,0,32,0.7826938665225615,0.70929236043095,0.9264388003242366,0.8395568070519099,2.0299243447716835,1.83955680705191,0.456390802302752,0.7686832740213523,0.0,2.0,3.0,10,18546
