replication,seed,metric,full,light,difference,percent_difference
13,2039,mean_RS,0.02515794591596645,0.10588881320023986,0.08073086728427342,320.89609999931554
13,2039,mean_RL,126.57361730507472,131.52694409596108,4.953326790886365,3.9133959322246303
13,2039,final_Q,10.0,20.0,10.0,100.0
13,2039,final_B,1764.0,1705.0,-59.0,-3.3446712018140587
13,2039,final_RS,1.0,1.0,0.0,0.0
13,2039,final_RL,171.0,187.0,16.0,9.35672514619883
14,2040,mean_Q,12.18052991119489,12.20300919863802,0.022479287443129436,0.1845509810083809
14,2040,mean_B,1099.9910030623296,1110.8170787483123,10.826075685982687,0.9841967485046096
14,2040,mean_RS,0.0,0.016025761929402336,0.016025761929402336,inf
14,2040,mean_RL,126.93673354624046,119.20884847144315,-7.727885074797314,-6.087981673155472
14,2040,final_Q,11.0,16.0,5.0,45.45454545454545
14,2040,final_B,1692.0,1707.0,15.0,0.8865248226950355
14,2040,final_RS,0.0,0.0,0.0,0.0
14,2040,final_RL,186.0,166.0,-20.0,-10.75268817204301
15,2041,mean_Q,11.387606881479028,11.875393701444246,0.48778681996521733,4.283488401400307
15,2041,mean_B,1078.4042075025343,1103.698055852392,25.293848349857626,2.3454886557272805
15,2041,mean_RS,0.0,0.0,0.0,0.0
15,2041,mean_RL,126.96368819157983,116.55120922023991,-10.412478971339922,-8.201147209608607
15,2041,final_Q,13.0,6.0,-7.0,-53.84615384615385
15,2041,final_B,1666.0,1755.0,89.0,5.342136854741897
15,2041,final_RS,0.0,0.0,0.0,0.0
15,2041,final_RL,197.0,151.0,-46.0,-23.3502538071066
16,2042,mean_Q,11.996074279131252,11.632245986083086,-0.3638282930481651,-3.032894633547679
16,2042,mean_B,1081.8739326925654,1100.5857679484131,18.711835255847745,1.7295763111028817
16,2042,mean_RS,0.012001135583169002,0.0028819257562642518,-0.009119209826904751,-75.9862245010713
16,2042,mean_RL,134.40255422995426,127.15070478235182,-7.251849447602439,-5.395618773133569
16,2042,final_Q,19.0,14.0,-5.0,-26.31578947368421
16,2042,final_B,1695.0,1727.0,32.0,1.887905604719764
16,2042,final_RS,0.0,0.0,0.0,0.0
16,2042,final_RL,171.0,182.0,11.0,6.432748538011696
17,2043,mean_Q,12.452296999403057,12.294665041190328,-0.15763195821272902,-1.2658865928132428
17,2043,mean_B,1120.9424608764975,1111.6288657678858,-9.313595108611707,-0.8308718273843545
17,2043,mean_RS,0.028165869405040952,0.06839002684902468,0.04022415744398372,142.81170187057904
17,2043,mean_RL,128.37516972016525,127.66045868641132,-0.7147110337539289,-0.5567361938542088
17,2043,final_Q,21.0,16.0,-5.0,-23.809523809523807
17,2043,final_B,1749.0,1693.0,-56.0,-3.201829616923957
17,2043,final_RS,1.0,0.0,-1.0,-100.0
17,2043,final_RL,168.0,181.0,13.0,7.738095238095238
18,2044,mean_Q,12.206224064874275,11.90512816043919,-0.30109590443508516,-2.4667407613919337
18,2044,mean_B,1127.721464511248,1111.506012568776,-16.2154519424721,-1.437895123287366
18,2044,mean_RS,0.0019059285060423292,0.045364574009141595,0.04345864550309927,2280.1823554935636
18,2044,mean_RL,130.24488246602158,132.97171506873056,2.7268326027089813,2.093619765383381
18,2044,final_Q,13.0,16.0,3.0,23.076923076923077
18,2044,final_B,1729.0,1748.0,19.0,1.098901098901099
18,2044,final_RS,0.0,0.0,0.0,0.0
18,2044,final_RL,176.0,193.0,17.0,9.659090909090908
19,2045,mean_Q,11.725175400556974,11.982869005953019,0.25769360539604413,2.197780387863563
19,2045,mean_B,1077.1462122408639,1101.5152534833396,24.36904124247576,2.2623707873213528
19,2045,mean_RS,0.06593630806930265,0.02191010258044706,-0.04402620548885559,-66.77080773552207
19,2045,mean_RL,124.22990258743039,116.88563586492876,-7.344266722501629,-5.911834888007651
19,2045,final_Q,7.0,9.0,2.0,28.57142857142857
19,2045,final_B,1654.0,1680.0,26.0,1.5719467956469164
19,2045,final_RS,0.0,0.0,0.0,0.0
19,2045,final_RL,185.0,183.0,-2.0,-1.0810810810810811
20,2046,mean_Q,11.985803207822105,12.15470648837811,0.16890328055600534,1.4091945080975188
20,2046,mean_B,1077.01199719152,1094.18073711038,17.168739918859956,1.5941085116628388
20,2046,mean_RS,0.054204498537851434,0.1027288977349187,0.04852439919706726,89.52098166387849
20,2046,mean_RL,132.95476475987167,123.79233756941159,-9.162427190460079,-6.8913868615451666
20,2046,final_Q,13.0,10.0,-3.0,-23.076923076923077
20,2046,final_B,1729.0,1723.0,-6.0,-0.3470213996529786
20,2046,final_RS,1.0,0.0,-1.0,-100.0
20,2046,final_RL,183.0,174.0,-9.0,-4.918032786885246
21,2047,mean_Q,12.478643713447955,11.997803729568245,-0.4808399838797097,-3.8533032509095464
21,2047,mean_B,1134.7802037796268,1106.0360721890172,-28.74413159060964,-2.53301313284028
21,2047,mean_RS,0.0041125656643282585,0.019348170509997688,0.01523560484566943,370.4647193313081
21,2047,mean_RL,128.3400749177116,138.28490969690827,9.944834779196668,7.7488148464718005
21,2047,final_Q,20.0,16.0,-4.0,-20.0
21,2047,final_B,1774.0,1785.0,11.0,0.6200676437429538
21,2047,final_RS,0.0,1.0,1.0,inf
21,2047,final_RL,160.0,168.0,8.0,5.0
22,2048,mean_Q,12.20727174403179,11.66621615890542,-0.5410555851263688,-4.43224003259282
22,2048,mean_B,1109.3481034719398,1110.6666600414467,1.3185565695068817,0.1188586851485282
22,2048,mean_RS,0.09918482394982718,0.04949293411952709,-0.04969188983030009,-50.10029543979109
22,2048,mean_RL,128.14197499383624,120.33345428228007,-7.80852071155617,-6.093647855772293
22,2048,final_Q,14.0,14.0,0.0,0.0
22,2048,final_B,1710.0,1719.0,9.0,0.5263157894736842
22,2048,final_RS,0.0,0.0,0.0,0.0
22,2048,final_RL,194.0,173.0,-21.0,-10.824742268041238
23,2049,mean_Q,12.205648664138225,11.945097993381458,-0.26055067075676774,-2.1346728709494918
23,2049,mean_B,1097.941426432805,1093.188217601691,-4.75320883111408,-0.4329200735741599
23,2049,mean_RS,0.02775862131643535,0.04576192623531242,0.018003304918877066,64.85662495138997
23,2049,mean_RL,123.8004049710555,116.46619027432885,-7.334214696726647,-5.924225125468196
23,2049,final_Q,14.0,16.0,2.0,14.285714285714285
23,2049,final_B,1711.0,1740.0,29.0,1.694915254237288
23,2049,final_RS,1.0,0.0,-1.0,-100.0
23,2049,final_RL,180.0,158.0,-22.0,-12.222222222222221
24,2050,mean_Q,12.429172959896073,11.974849730508804,-0.45432322938726877,-3.655297346437986
24,2050,mean_B,1084.060072110295,1090.9743747214875,6.914302611192397,0.6378154485233101
24,2050,mean_RS,0.017719273667511713,0.030131972849211763,0.01241269918170005,70.05196383674989
24,2050,mean_RL,134.9264198014009,132.97859711874347,-1.9478226826574314,-1.4436184444265583
24,2050,final_Q,24.0,15.0,-9.0,-37.5
24,2050,final_B,1730.0,1722.0,-8.0,-0.46242774566473993
24,2050,final_RS,1.0,0.0,-1.0,-100.0
24,2050,final_RL,189.0,150.0,-39.0,-20.634920634920633
